Box SKU,QTY,WH,Dog Size List,Heavy Chewer,Allergies,Extra Toy,Extra Treat,Item SKUs,Theme,Info Card Name,,[400 SKU],[Percent of Plan],[Year],[Month],[Cohort],[Species],[Add Ons],[Product List],[P],[A],[W],[S],[Total PAWS],[Paper SKU],[Cardboard SKU],[Info Card 1],[Info Card 2],[XT Insert],[XTR Insert],,[All COG],[Base COG],[Freight COG],[Extra Toy COG],[Extra Treat COG],[Base Kit Cost],[XT Unit Cost],[Full Kit Cost],[Potential Add QTY],[QTY To Build],[QTY Overbuilt],[Total Built],[Back Ordered],[Available],[Shipped]
601340XC,"1,000",CT,"L,",NO,NO,YES,NO,#N/A,Olympics,#N/A,,201JUL-315X,0.42%,2016,JULY,CONTINUITY,L00X0,X,"204759,204762,204907-1708,204780,203007,204771,",Missing,Missing,Missing,Missing,0,#N/A,500018,#N/A,#N/A,XT-204771,,,13200,"$9,950.00 ",$850.00 ,"$2,400.00 ",$0.00 ,$9.95 ,$2.40 ,$12.35 ,184,"1,000",0,None Found,None Found,None Found,None Found
601339XC,"1,600",CT,"L,",NO,NO,YES,NO,#N/A,Olympics,#N/A,,201JUL-306X,0.67%,2016,JULY,CONTINUITY,L00X0,X,"204759,204762,204907-1708,204768,203007,204771,",Missing,Missing,Missing,Missing,0,#N/A,500018,#N/A,#N/A,XT-204771,,,21040,"$15,840.00 ","$1,360.00 ","$3,840.00 ",$0.00 ,$9.90 ,$2.40 ,$12.30 ,184,"1,600",0,None Found,None Found,None Found,None Found
601338XC,"1,200",CT,"M,L,",NO,NO,YES,NO,#N/A,Olympics,#N/A,,201JUL-297X,0.50%,2016,JULY,CONTINUITY,M00X0,X,"204759,204762,204907-1708,204753-1711,204774,204771,",Missing,Missing,Missing,Missing,0,#N/A,#N/A,#N/A,#N/A,XT-204771,,,14932.8,"$11,032.80 ","$1,020.00 ","$2,880.00 ",$0.00 ,$9.19 ,$2.40 ,$11.59 ,30,"1,200",0,None Found,None Found,None Found,None Found
601337XC,"2,000",CT,"M,L,",NO,NO,YES,NO,#N/A,Olympics,#N/A,,201JUL-288X,0.84%,2016,JULY,CONTINUITY,M00X0,X,"204759,204762,204754,204751,203007,204771,",Missing,Missing,Missing,Missing,0,#N/A,#N/A,#N/A,#N/A,XT-204771,,,24376,"$17,976.00 ","$1,600.00 ","$4,800.00 ",$0.00 ,$8.99 ,$2.40 ,$11.39 ,-2000,"2,000",0,None Found,None Found,None Found,None Found
601336XC,"1,500",CT,"M,L,",NO,NO,YES,NO,#N/A,Olympics,#N/A,,201JUL-279X,0.63%,2016,JULY,CONTINUITY,M00X0,X,"204759,204762,204752-1711,204907-1708,204382,204773,",Missing,Missing,Missing,Missing,0,#N/A,500018,#N/A,#N/A,XT-204773,,,18567,"$14,022.00 ","$1,275.00 ","$3,270.00 ",$0.00 ,$9.35 ,$2.18 ,$11.53 ,94,"1,500",0,None Found,None Found,None Found,None Found
601335XTN,50,NV,"L,",YES,YES,YES,YES,#N/A,Olympics,#N/A,,201JUL-270XT,0.02%,2016,JULY,CONTINUITY,LHAXT,XT,"204759,204762,204752,204754,204382,204760,204768,",Missing,Missing,Missing,Missing,0,#N/A,500018,#N/A,#N/A,XT-204760,XTR-204768,,679.3,$431.80 ,$45.00 ,$112.50 ,$90.00 ,$8.64 ,$2.25 ,$12.69 ,-43612,50,0,None Found,None Found,None Found,None Found
601335XN,630,NV,"L,",YES,YES,YES,NO,#N/A,Olympics,#N/A,,201JUL-270X,0.26%,2016,JULY,CONTINUITY,LHAX0,X,"204759,204762,204752,204754,204382,204760,",Missing,Missing,Missing,Missing,0,#N/A,500018,#N/A,#N/A,XT-204760,,,7393.68,"$5,440.68 ",$535.50 ,"$1,417.50 ",$0.00 ,$8.64 ,$2.25 ,$10.89 ,-43612,630,0,None Found,None Found,None Found,None Found
601335TN,46,NV,"L,",YES,YES,NO,YES,#N/A,Olympics,#N/A,,201JUL-270T,0.02%,2016,JULY,CONTINUITY,LHA0T,T,"204759,204762,204752,204754,204382,204768,",Missing,Missing,Missing,Missing,0,#N/A,500018,#N/A,#N/A,,XTR-204768,,509.956,$397.26 ,$29.90 ,$0.00 ,$82.80 ,$8.64 ,,$10.44 ,-43612,46,0,None Found,None Found,None Found,None Found
601335N,"1,520",NV,"L,",YES,YES,NO,NO,#N/A,Olympics,#N/A,,201JUL-270,0.64%,2016,JULY,CONTINUITY,LHA00,None,"204759,204762,204752,204754,204382,",Missing,Missing,Missing,Missing,0,#N/A,500018,#N/A,#N/A,,,,14038.72,"$13,126.72 ",$912.00 ,$0.00 ,$0.00 ,$8.64 ,,$8.64 ,-43612,"1,520",0,None Found,None Found,None Found,None Found
601334XTC,75,CT,"L,",YES,YES,YES,YES,#N/A,Olympics,#N/A,,201JUL-261XT,0.03%,2016,JULY,CONTINUITY,LHAXT,XT,"204759,204762,204752-1711,204754-1711,204382,204760,204768,",Missing,Missing,Missing,Missing,0,#N/A,500018,#N/A,#N/A,XT-204760,XTR-204768,,1018.95,$647.70 ,$67.50 ,$168.75 ,$135.00 ,$8.64 ,$2.25 ,$12.69 ,94,75,0,None Found,None Found,None Found,None Found
601334XC,610,CT,"L,",YES,YES,YES,NO,#N/A,Olympics,#N/A,,201JUL-261X,0.26%,2016,JULY,CONTINUITY,LHAX0,X,"204759,204762,204752-1711,204754-1711,204382,204760,",Missing,Missing,Missing,Missing,0,#N/A,500018,#N/A,#N/A,XT-204760,,,7158.96,"$5,267.96 ",$518.50 ,"$1,372.50 ",$0.00 ,$8.64 ,$2.25 ,$10.89 ,94,610,0,None Found,None Found,None Found,None Found
601334TC,40,CT,"L,",YES,YES,NO,YES,#N/A,Olympics,#N/A,,201JUL-261T,0.02%,2016,JULY,CONTINUITY,LHA0T,T,"204759,204762,204752-1711,204754-1711,204382,204768,",Missing,Missing,Missing,Missing,0,#N/A,500018,#N/A,#N/A,,XTR-204768,,443.44,$345.44 ,$26.00 ,$0.00 ,$72.00 ,$8.64 ,,$10.44 ,94,40,0,None Found,None Found,None Found,None Found
601334C,"1,300",CT,"L,",YES,YES,NO,NO,#N/A,Olympics,#N/A,,201JUL-261,0.55%,2016,JULY,CONTINUITY,LHA00,None,"204759,204762,204752-1711,204754-1711,204382,",Missing,Missing,Missing,Missing,0,#N/A,500018,#N/A,#N/A,,,,12006.8,"$11,226.80 ",$780.00 ,$0.00 ,$0.00 ,$8.64 ,,$8.64 ,94,"1,300",0,None Found,None Found,None Found,None Found
601333N,950,NV,"L,",NO,YES,NO,NO,#N/A,Olympics,#N/A,,201JUL-252,0.40%,2016,JULY,CONTINUITY,L0A00,None,"204759,204771,204752,204754,204382,",Missing,Missing,Missing,Missing,0,#N/A,500018,#N/A,#N/A,,,,8204.2,"$7,634.20 ",$570.00 ,$0.00 ,$0.00 ,$8.04 ,,$8.04 ,-43612,950,0,None Found,None Found,None Found,None Found
601332C,"1,070",CT,"L,",NO,YES,NO,NO,#N/A,Olympics,#N/A,,201JUL-243,0.45%,2016,JULY,CONTINUITY,L0A00,None,"204759,204771,204752-1711,204754-1711,204382,",Missing,Missing,Missing,Missing,0,#N/A,500018,#N/A,#N/A,,,,9240.52,"$8,598.52 ",$642.00 ,$0.00 ,$0.00 ,$8.04 ,,$8.04 ,94,"1,070",0,None Found,None Found,None Found,None Found
601331XC,400,CT,"L,",NO,YES,YES,NO,#N/A,Olympics,#N/A,,201JUL-234X,0.17%,2016,JULY,CONTINUITY,L0AX0,X,"204759,204762,204752-1711,204754-1711,204382,204771,",Missing,Missing,Missing,Missing,0,#N/A,#N/A,#N/A,#N/A,XT-204771,,,4754.4,"$3,454.40 ",$340.00 ,$960.00 ,$0.00 ,$8.64 ,$2.40 ,$11.04 ,94,400,0,None Found,None Found,None Found,None Found
601330XN,970,NV,"L,",YES,NO,YES,NO,#N/A,Olympics,#N/A,,201JUL-225X,0.41%,2016,JULY,CONTINUITY,LH0X0,X,"204759,204762,204752,204751,204774,204760,",Missing,Missing,Missing,Missing,0,#N/A,500007,#N/A,#N/A,XT-204760,,,12006.66,"$9,048.16 ",$776.00 ,"$2,182.50 ",$0.00 ,$9.33 ,$2.25 ,$11.58 ,-43612,970,0,None Found,None Found,None Found,None Found
601330N,"4,900",NV,"L,",YES,NO,NO,NO,#N/A,Olympics,#N/A,,201JUL-225,2.06%,2016,JULY,CONTINUITY,LH000,None,"204759,204762,204752,204751,204774,",Missing,Missing,Missing,Missing,0,#N/A,500007,#N/A,#N/A,,,,48402.2,"$45,707.20 ","$2,695.00 ",$0.00 ,$0.00 ,$9.33 ,,$9.33 ,-43612,"4,900",0,None Found,None Found,None Found,None Found
601329XC,"2,630",CT,"L,",YES,NO,YES,NO,#N/A,Olympics,#N/A,,201JUL-216X,1.11%,2016,JULY,CONTINUITY,LH0X0,X,"204759,204762,204752-1711,204751,204774,204760,",Missing,Missing,Missing,Missing,0,#N/A,500007,#N/A,#N/A,XT-204760,,,32554.14,"$24,532.64 ","$2,104.00 ","$5,917.50 ",$0.00 ,$9.33 ,$2.25 ,$11.58 ,36,"2,630",0,None Found,None Found,None Found,None Found
