Box SKU,QTY,WH,Dog Size List,Heavy Chewer,Allergies,Extra Toy,Extra Treat,Item SKUs,Theme,Info Card Name,,[400 SKU],[Percent of Plan],[Year],[Month],[Cohort],[Species],[Add Ons],[Product List],[P],[A],[W],[S],[Total PAWS],[Paper SKU],[Cardboard SKU],[Info Card 1],[Info Card 2],[XT Insert],[XTR Insert],,[All COG],[Base COG],[Freight COG],[Extra Toy COG],[Extra Treat COG],[Base Kit Cost],[XT Unit Cost],[Full Kit Cost],[Potential Add QTY],[QTY To Build],[QTY Overbuilt],[Total Built],[Back Ordered],[Available],[Shipped]
601340XC,1000,CT,"L,",NO,NO,YES,NO,"204759,204762,204907,204780,203007,204771,IN-COL0716,XT-204771,",Olympics,Olympics,,201JUL-315X,0.004204472,2016,JULY,CONTINUITY,L00X0,X,"204759,204762,204907-1708,204780,203007,204771,",4,4,4,4,16,500021-16,500018,IN-COL0716,,XT-204771,,,13200,9950,850,2400,0,9.95,2.4,12.35,184,1000,0,None Found,None Found,None Found,None Found
601339XC,1600,CT,"L,",NO,NO,YES,NO,"204759,204762,204907,204768,203007,204771,IN-COL0716,XT-204771,",Olympics,Olympics,,201JUL-306X,0.006727155,2016,JULY,CONTINUITY,L00X0,X,"204759,204762,204907-1708,204768,203007,204771,",4,4,4,4,16,500021-16,500018,IN-COL0716,,XT-204771,,,21040,15840,1360,3840,0,9.9,2.4,12.3,184,1600,0,None Found,None Found,None Found,None Found
601338XC,500,CT,"M,L,",NO,NO,YES,NO,"204759,204762,204907,204753,204774,204771,IN-COL0716,XT-204771,",Olympics,Olympics,,201JUL-297X,0.005045366,2016,JULY,CONTINUITY,M00X0,X,"204759,204762,204907-1708,204753-1711,204774,204771,",4,4,4,4,16,500021-16,500018,IN-COL0716,,XT-204771,,,14932.8,11032.8,1020,2880,0,9.194,2.4,11.594,30,1200,0,None Found,None Found,None Found,None Found
601337XC,2000,CT,"M,L,",NO,NO,YES,NO,"204759,204762,204754,204751,203007,204771,IN-COL0716,XT-204771,",Olympics,Olympics,,201JUL-288X,0.008408944,2016,JULY,CONTINUITY,M00X0,X,"204759,204762,204754,204751,203007,204771,",4,4,4,4,16,500021-16,500018,IN-COL0716,,XT-204771,,,24376,17976,1600,4800,0,8.988,2.4,11.388,-2000,2000,0,None Found,None Found,None Found,None Found
601336XC,1500,CT,"M,L,",NO,NO,YES,NO,"204759,204762,204752,204907,204382,204771,IN-COL0716,XT-204771,",Olympics,Olympics,,201JUL-279X,0.006306708,2016,JULY,CONTINUITY,M00X0,X,"204759,204762,204752-1711,204907-1708,204382,204771,",Missing,Missing,Missing,Missing,0,500021-16,500018,IN-COL0716,,XT-204771,,,18897,14022,1275,3600,0,9.348,2.4,11.748,87,1500,0,None Found,None Found,None Found,None Found
601335XTN,50,NV,"L,",YES,YES,YES,YES,"204759,204762,204752,204754,204382,204760,204768,IN-COL0716,XT-204760,XTR-204768,",Olympics,Olympics,,201JUL-270XT,0.000210224,2016,JULY,CONTINUITY,LHAXT,XT,"204759,204762,204752,204754,204382,204760,204768,",4,4,4,3,15,500021-16R,500018,IN-COL0716,,XT-204760,XTR-204768,,679.3,431.8,45,112.5,90,8.636,2.25,12.686,-43612,50,0,None Found,None Found,None Found,None Found
601335XN,630,NV,"L,",YES,YES,YES,NO,"204759,204762,204752,204754,204382,204760,IN-COL0716,XT-204760,",Olympics,Olympics,,201JUL-270X,0.002648817,2016,JULY,CONTINUITY,LHAX0,X,"204759,204762,204752,204754,204382,204760,",4,4,4,3,15,500021-16R,500018,IN-COL0716,,XT-204760,,,7393.68,5440.68,535.5,1417.5,0,8.636,2.25,10.886,-43612,630,0,None Found,None Found,None Found,None Found
601335TN,46,NV,"L,",YES,YES,NO,YES,"204759,204762,204752,204754,204382,204768,IN-COL0716,XTR-204768,",Olympics,Olympics,,201JUL-270T,0.000193406,2016,JULY,CONTINUITY,LHA0T,T,"204759,204762,204752,204754,204382,204768,",4,4,4,4,16,500021-16R,500018,IN-COL0716,,,XTR-204768,,509.956,397.256,29.9,0,82.8,8.636,,10.436,-43612,46,0,None Found,None Found,None Found,None Found
601335N,1520,NV,"L,",YES,YES,NO,NO,"204759,204762,204752,204754,204382,IN-COL0716,",Olympics,Olympics,,201JUL-270,0.006390797,2016,JULY,CONTINUITY,LHA00,None,"204759,204762,204752,204754,204382,",4,4,4,4,16,500021-16R,500018,IN-COL0716,,,,,14038.72,13126.72,912,0,0,8.636,,8.636,-43612,1520,0,None Found,None Found,None Found,None Found
601334XTC,75,CT,"L,",YES,YES,YES,YES,"204759,204762,204752,204754,204382,204760,204768,IN-COL0716,XT-204760,XTR-204768,",Olympics,Olympics,,201JUL-261XT,0.000315335,2016,JULY,CONTINUITY,LHAXT,XT,"204759,204762,204752-1711,204754-1711,204382,204760,204768,",4,4,4,3,15,500021-16,500018,IN-COL0716,,XT-204760,XTR-204768,,1018.95,647.7,67.5,168.75,135,8.636,2.25,12.686,87,75,0,None Found,None Found,None Found,None Found
601334XC,610,CT,"L,",YES,YES,YES,NO,"204759,204762,204752,204754,204382,204760,IN-COL0716,XT-204760,",Olympics,Olympics,,201JUL-261X,0.002564728,2016,JULY,CONTINUITY,LHAX0,X,"204759,204762,204752-1711,204754-1711,204382,204760,",4,4,4,3,15,500021-16,500018,IN-COL0716,,XT-204760,,,7158.96,5267.96,518.5,1372.5,0,8.636,2.25,10.886,87,610,0,None Found,None Found,None Found,None Found
601334TC,40,CT,"L,",YES,YES,NO,YES,"204759,204762,204752,204754,204382,204768,IN-COL0716,XTR-204768,",Olympics,Olympics,,201JUL-261T,0.000168179,2016,JULY,CONTINUITY,LHA0T,T,"204759,204762,204752-1711,204754-1711,204382,204768,",4,4,4,4,16,500021-16,500018,IN-COL0716,,,XTR-204768,,443.44,345.44,26,0,72,8.636,,10.436,87,40,0,None Found,None Found,None Found,None Found
601334C,1300,CT,"L,",YES,YES,NO,NO,"204759,204762,204752,204754,204382,IN-COL0716,",Olympics,Olympics,,201JUL-261,0.005465813,2016,JULY,CONTINUITY,LHA00,None,"204759,204762,204752-1711,204754-1711,204382,",4,4,4,4,16,500021-16,500018,IN-COL0716,,,,,12006.8,11226.8,780,0,0,8.636,,8.636,87,1300,0,None Found,None Found,None Found,None Found
601333N,950,NV,"L,",NO,YES,NO,NO,"204759,204771,204752,204754,204382,IN-COL0716,",Olympics,Olympics,,201JUL-252,0.003994248,2016,JULY,CONTINUITY,L0A00,None,"204759,204771,204752,204754,204382,",4,4,4,4,16,500021-16R,500018,IN-COL0716,,,,,8204.2,7634.2,570,0,0,8.036,,8.036,-43612,950,0,None Found,None Found,None Found,None Found
601332C,1070,CT,"L,",NO,YES,NO,NO,"204759,204762,204752,204754,204382,IN-COL0716,",Olympics,Olympics,,201JUL-243,0.004498785,2016,JULY,CONTINUITY,L0A00,None,"204759,204762,204752-1711,204754-1711,204382,",4,4,4,4,16,500021-16,500018,IN-COL0716,,,,,9882.52,9240.52,642,0,0,8.636,,8.636,87,1070,0,None Found,None Found,None Found,None Found
